,Unnamed: 0,swiss
0,0,ich bruche mini veralagig f fcrs jahr zweitausendzweiundzwanzig ha i dem jahr zsg
1,1,gwohnt
2,2,ja gern dass mach i danke viel mal und en sch fsechsne tag
3,3,guten tag mini fr fcndin m fsechschte c beantr evierge h eviert aber
4,4,verfallsazeig becho
5,5,ja gern
6,6,danke glichfalls ade
7,7,da isch firma niedermann ag min name isch schmied
8,8,mir h eviernd e zahlig vom amt f fcr finanzdienstleistungen erhalten ch fsechsnds n fsechsd iteile
9,9,sehr gern danke
10,10,danke und ade
11,11,guten tag ich sueche frau schrepfer
12,12,ich kann frau schrepfer nicht erreichen ich versuechs sit tage
13,13,ja gern
14,14,ch fsechsnd sie mir e frog beatworte
15,15,gutet denn versuech ichs ab die vierzehn a
16,16,danke au
17,17,da isch    fünfundachtzig
18,18,mini mitarbeiterin h eviert bi nem kongress bsuech ihren uswis im usland verlohre
19,19,danke viel mal das leite ich gern wiiter
20,20,ufwiederlose und danke
21,21,ich heisse vo de firma  fünfundachtzig ich han e mitarbeiterin agmeldet im meldeverfahren er isch aber wieder gange wie chan ich en abmelde und wie weiss ich weiviel t evierg er no zguet h eviert
22,22,ok danke
23,23,ja gern danke und en sch fsechsne tag
24,24,da isch bank  fünfundachtzig sg
25,25,mir h eviernd iladige gmacht f fcr en theater bsuech in sg f fcr kunde und en berater vo de bank goht mit bruchts da e sunntigsbewillligung 
26,26,n fsechsd extra er beratet aber glich nebed bi tuet froge beantworte und luege das sich dchunde wohl f fchlet
27,27,ja gern danke viel mal
28,28,ich probiers gern wieder
29,29,ja mach ich den gern danke und en sch fsechsne tag ufwieder lose
30,30,gr fcezzi ich bin f fcr hilfe organisation fünfundachtzighan en herr  bi mir
31,31,er h eviert en positive asylentscheid becho und es stoht das er sich bim miga melde mue
32,32,gern ja
33,33,danke au
34,34,gr fcezzi min name isch  fünfundachtzigich versuech frau b fcrkler mit dem schwierige vorname zerreiche
35,35,ja sehr gern danke viel mal
36,36,da isch firma fünfundachtzig mir h eviernd grenzg eviernger wo no die alt adresse verzeichnet isch w fcrd gern die neu adresse ageh
37,37,danke viel mal
38,38,ade
39,39,gr fcezzi  ich bin st fcrberater vo zh und han en kund wo e liegenschaft in sg h eviert wegen liegenschatsuntehalt
40,40,was me cha vo de st fcre abzie was n fsechsd
41,41,ja
42,42,ja gern  danke viel mal
43,43,guten tag
44,44,ich rufe an f fcr einen blauen reisepass
45,45,danke
46,46,ich melde mich wegen heiratsurkunde und familiennachzug
47,47,ich habe geheirattet und familiennachzug beantragt leider geht es beim miga nicht weiter da anscheinden bei ihnen amt f fcr b fcrgerrecht  unsere heiraturkunde nicht registiret wurde
48,48,mach ich gerne danke auf wiieder h fsechsren
49,49,gr fcezzi
50,50,ich habe ein verl evierngerungsgesuch erhalten ziehe aber in einem monat um muss ich das gesuch einreichen
51,51,gerne
52,52,gr fcezzi ich bin frau  fünfundachtzig ich sueche jemand wo verantwortig h eviert f fcr ankauf vo lkws
53,53,es h eviert e preisabsprach im handel geh und drum l fct ich i jedem kanton a zum de betrug witerleite
